Team,duke,arkansas-pine-bluff,california,louisville,texas-am,utah-state,purdue,siena,notre-dame,old-dominion,baylor,sam-houston-state,richmond,saint-marys-ca,villanova,robert-morris,kentucky,east-tennessee-state,texas,wake-forest,temple,cornell,wisconsin,wofford,marquette,washington,new-mexico,montana,clemson,missouri,west-virginia,morgan-state,kansas,lehigh,nevada-las-vegas,northern-iowa,michigan-state,new-mexico-state,maryland,houston,tennessee,san-diego-state,georgetown,ohio,oklahoma-state,georgia-tech,ohio-state,california-santa-barbara,syracuse,vermont,gonzaga,florida-state,butler,texas-el-paso,vanderbilt,murray-state,xavier,minnesota,pittsburgh,oakland,brigham-young,florida,kansas-state,north-texas
2 Pt Field Goal Percent,0.19841269841269824,0.0,0.5952380952380956,0.5873015873015877,0.38888888888888895,0.5952380952380956,0.4126984126984128,0.4126984126984128,0.53968253968254,0.3730158730158731,0.7222222222222228,0.6269841269841274,0.4285714285714287,0.6587301587301592,0.46031746031746046,0.17460317460317484,0.7936507936507943,0.30158730158730157,0.5079365079365081,0.21428571428571414,0.3095238095238095,0.5714285714285717,0.4365079365079366,0.28571428571428564,0.26984126984126977,0.3968253968253969,0.2619047619047618,0.6190476190476194,0.5079365079365081,0.2460317460317459,0.2777777777777777,0.15873015873015894,0.6507936507936513,0.2619047619047618,0.6904761904761909,0.23809523809523797,0.5634920634920638,0.5714285714285717,0.4365079365079366,0.07936507936507947,0.5793650793650796,0.7777777777777783,0.8095238095238102,0.15079365079365098,0.6349206349206353,0.42063492063492075,0.8174603174603181,0.2777777777777777,1.0,0.31746031746031744,0.7936507936507943,0.49206349206349226,0.5079365079365081,0.7063492063492068,0.5476190476190479,0.8492063492063499,0.4444444444444446,0.4365079365079366,0.34920634920634924,0.4761904761904764,0.5634920634920638,0.48412698412698435,0.3730158730158731,0.531746031746032
3 Pt Field Goal Percent,0.6456692913385828,0.0,0.5590551181102362,0.2677165354330711,0.2519685039370081,0.874015748031496,0.11811023622047255,0.14173228346456707,0.6692913385826773,0.11023622047244104,0.6456692913385828,0.5275590551181103,0.40944881889763773,0.8110236220472443,0.5511811023622047,0.45669291338582674,0.22047244094488208,0.039370078740157514,0.3307086614173227,0.039370078740157514,0.2677165354330711,1.0,0.4251968503937007,0.3700787401574802,0.8661417322834645,0.2598425196850396,0.5196850393700787,0.7559055118110238,0.30708661417322863,0.5118110236220472,0.2677165354330711,0.2283464566929136,0.7952755905511814,0.7559055118110238,0.2283464566929136,0.4015748031496062,0.3228346456692912,0.5354330708661418,0.6220472440944883,0.4173228346456692,0.13385826771653556,0.11023622047244104,0.6614173228346458,0.49606299212598426,0.3622047244094487,0.47244094488188976,0.6850393700787403,0.5826771653543308,0.6929133858267719,0.11023622047244104,0.3937007874015747,0.24409448818897658,0.30708661417322863,0.3149606299212601,0.5118110236220472,0.5826771653543308,0.5826771653543308,0.7559055118110238,0.3228346456692912,0.14960629921259855,0.8976377952755905,0.07874015748031503,0.44881889763779526,0.2362204724409451
Total Field Goal Percent,0.314814814814815,0.0,0.6296296296296294,0.36111111111111127,0.29629629629629645,0.7407407407407406,0.32407407407407424,0.42592592592592615,0.5740740740740738,0.36111111111111127,0.7314814814814813,0.5092592592592595,0.36111111111111127,0.7037037037037035,0.4629629629629632,0.2592592592592594,0.6481481481481479,0.22222222222222235,0.5370370370370373,0.24074074074074087,0.2777777777777779,0.685185185185185,0.32407407407407424,0.29629629629629645,0.4444444444444447,0.42592592592592615,0.2777777777777779,0.6944444444444443,0.4166666666666669,0.29629629629629645,0.2037037037037038,0.19444444444444453,0.7499999999999999,0.42592592592592615,0.490740740740741,0.19444444444444453,0.5833333333333331,0.48148148148148173,0.5833333333333331,0.11111111111111117,0.4444444444444447,0.6111111111111109,0.8425925925925926,0.2037037037037038,0.39814814814814836,0.4722222222222225,0.7777777777777777,0.32407407407407424,1.0,0.2777777777777779,0.7685185185185184,0.4074074074074076,0.314814814814815,0.6111111111111109,0.5740740740740738,0.8425925925925926,0.5000000000000002,0.5555555555555558,0.36111111111111127,0.37037037037037057,0.6944444444444443,0.3333333333333335,0.38888888888888906,0.45370370370370394
Offensive Rebounds Percent,0.9905362776025236,0.48580441640378547,0.40063091482649843,0.6624605678233438,0.416403785488959,0.29652996845425866,0.2618296529968454,0.5488958990536278,0.4227129337539432,0.8580441640378549,0.5520504731861199,0.4479495268138801,0.13249211356466878,0.3217665615141956,0.5488958990536278,0.45425867507886436,0.8832807570977917,0.5583596214511041,0.7413249211356467,0.6151419558359621,0.35962145110410093,0.26813880126182965,0.1640378548895899,0.4227129337539432,0.23659305993690852,0.6561514195583596,0.6025236593059937,0.0473186119873817,0.4794952681388013,0.5457413249211357,1.0,0.9463722397476341,0.6309148264984227,0.22397476340694006,0.21766561514195584,0.20504731861198738,0.6908517350157729,0.28391167192429023,0.48264984227129337,0.5457413249211357,0.5457413249211357,0.555205047318612,0.20504731861198738,0.5520504731861199,0.1861198738170347,0.6593059936908517,0.21766561514195584,0.0,0.47003154574132494,0.5205047318611987,0.28391167192429023,0.4353312302839117,0.26813880126182965,0.17350157728706625,0.29337539432176657,0.5394321766561514,0.555205047318612,0.3627760252365931,0.47318611987381703,0.6593059936908517,0.31230283911671924,0.5899053627760252,0.917981072555205,0.3028391167192429
Steal Percent,0.5374449339207048,0.3744493392070485,0.23788546255506607,0.5022026431718062,0.34801762114537443,0.07929515418502203,0.4581497797356828,0.6784140969162996,0.22026431718061673,0.6079295154185022,0.40969162995594716,0.4977973568281938,0.6387665198237885,0.10572687224669604,0.5066079295154186,0.5418502202643172,0.5947136563876652,0.6563876651982379,0.5506607929515418,0.3392070484581498,0.08370044052863436,0.43612334801762115,0.1894273127753304,0.43171806167400884,0.5506607929515418,0.5286343612334802,0.3876651982378855,0.27312775330396477,0.6916299559471366,1.0,0.3039647577092511,0.43612334801762115,0.6916299559471366,0.2599118942731278,0.5374449339207048,0.23788546255506607,0.43171806167400884,0.2599118942731278,0.4933920704845815,0.8149779735682819,0.6431718061674009,0.4713656387665198,0.40969162995594716,0.5903083700440529,0.30837004405286345,0.6343612334801763,0.5198237885462555,0.2555066079295154,0.8458149779735683,0.4185022026431718,0.3656387665198238,0.5418502202643172,0.5418502202643172,0.6343612334801763,0.19383259911894274,0.8942731277533039,0.4008810572687225,0.5682819383259912,0.14537444933920704,0.4052863436123348,0.7180616740088106,0.43612334801762115,0.5726872246696035,0.0
Block Percent,0.45320197044334976,0.2512315270935961,0.07881773399014778,0.32019704433497537,0.21182266009852216,0.26108374384236455,0.45320197044334976,0.2413793103448276,0.16748768472906403,0.1724137931034483,0.8472906403940886,0.07389162561576355,0.43349753694581283,0.5221674876847291,0.3103448275862069,0.04926108374384237,1.0,0.20689655172413793,0.6108374384236454,0.45320197044334976,0.16748768472906403,0.2561576354679803,0.21182266009852216,0.019704433497536946,0.009852216748768473,0.39901477832512317,0.24630541871921183,0.17733990147783252,0.39901477832512317,0.4433497536945813,0.4187192118226601,0.4039408866995074,0.7980295566502463,0.07389162561576355,0.2315270935960591,0.0,0.26108374384236455,0.2019704433497537,0.41379310344827586,0.1625615763546798,0.3251231527093596,0.4236453201970443,0.4482758620689655,0.1330049261083744,0.06896551724137931,0.5911330049261084,0.42857142857142855,0.10837438423645321,0.7438423645320197,0.3497536945812808,0.35467980295566504,0.6403940886699507,0.07881773399014778,0.24630541871921183,0.4975369458128079,0.6206896551724138,0.3054187192118227,0.6354679802955665,0.3399014778325123,0.4876847290640394,0.27586206896551724,0.11822660098522167,0.5763546798029556,0.11822660098522167
3 Pt Field Goal Attempts,0.9155672823218998,0.08179419525065963,0.45910290237467016,0.9023746701846965,0.503957783641161,0.39577836411609496,0.40369393139841686,0.1662269129287599,0.6279683377308707,0.23218997361477572,0.5989445910290238,0.8970976253298153,0.7097625329815304,0.6965699208443272,0.6358839050131926,0.2928759894459103,0.6912928759894459,0.36939313984168864,0.34564643799472294,0.0,0.44854881266490765,0.8548812664907651,0.6728232189973615,0.38258575197889183,0.604221635883905,0.35092348284960423,0.8021108179419525,0.24010554089709762,0.5171503957783641,0.7018469656992085,0.862796833773087,0.48021108179419525,0.5620052770448549,0.30606860158311344,0.6860158311345647,0.5910290237467019,0.2849604221635884,0.8944591029023746,0.19788918205804748,1.0,0.6490765171503958,0.3403693931398417,0.29815303430079154,0.8548812664907651,0.920844327176781,0.40105540897097625,0.7203166226912929,0.287598944591029,0.49868073878627966,0.23482849604221637,0.21372031662269128,0.32189973614775724,0.8601583113456465,0.39841688654353563,0.3087071240105541,0.43271767810026385,0.604221635883905,0.48021108179419525,0.24010554089709762,0.5408970976253298,0.6992084432717678,0.5620052770448549,0.7071240105540897,0.2717678100263852
2 Pt Field Goal Attempts,0.9234234234234234,0.5015015015015015,0.6621621621621622,0.3078078078078078,0.3633633633633634,0.5480480480480481,0.5870870870870871,0.8588588588588588,0.45345345345345345,0.8408408408408409,0.6006006006006006,0.3153153153153153,0.3918918918918919,0.4099099099099099,0.4624624624624625,0.5165165165165165,0.8303303303303303,0.6381381381381381,0.9219219219219219,0.6846846846846847,0.539039039039039,0.23573573573573572,0.12312312312312312,0.47297297297297297,0.37237237237237236,1.0,0.4594594594594595,0.1981981981981982,0.4039039039039039,0.6381381381381381,0.6756756756756757,0.9669669669669669,0.7282282282282282,0.4864864864864865,0.4159159159159159,0.15615615615615616,0.8213213213213213,0.36786786786786785,0.8468468468468469,0.7357357357357357,0.7732732732732732,0.45645645645645644,0.4339339339339339,0.6246246246246246,0.14864864864864866,0.7492492492492493,0.46996996996997,0.0,0.6291291291291291,0.5735735735735735,0.5435435435435435,0.2987987987987988,0.25825825825825827,0.47297297297297297,0.44894894894894893,0.5765765765765766,0.6606606606606606,0.5315315315315315,0.46096096096096095,0.6531531531531531,0.6636636636636637,0.5705705705705706,0.7522522522522522,0.3483483483483483
Total Field Goal Attempts,1.0,0.30011723329425555,0.593200468933177,0.5134818288393904,0.3798358733880422,0.47596717467760846,0.5099648300117233,0.6166471277842908,0.5052754982415005,0.6318874560375146,0.6072684642438453,0.5169988276670574,0.4935521688159437,0.5017584994138335,0.5158264947245017,0.4056271981242673,0.8276670574443142,0.5345838218053928,0.7456037514654161,0.406799531066823,0.492379835873388,0.4361078546307151,0.2672919109026964,0.4114888628370457,0.43141852286049237,0.8089097303634232,0.5873388042203986,0.1336459554513482,0.41735052754982416,0.6822977725674091,0.7831184056271981,0.8405627198124267,0.690504103165299,0.388042203985932,0.5017584994138335,0.2567409144196952,0.6400937866354045,0.5568581477139508,0.6213364595545134,0.8909730363423212,0.7643610785463072,0.3798358733880422,0.34349355216881594,0.7397420867526378,0.3974208675263775,0.6354044548651817,0.5592028135990621,0.0,0.5849941383352872,0.4243845252051583,0.39155920281359907,0.2485345838218054,0.45603751465416176,0.41852286049237986,0.35990621336459555,0.5146541617819461,0.6565064478311841,0.5005861664712778,0.3388042203985932,0.6225087924970691,0.7010550996483002,0.567409144196952,0.7737397420867527,0.264947245017585
Opponent Points Per Game,0.26222222222222225,0.4088888888888888,0.5822222222222224,0.6533333333333333,0.41777777777777786,0.21333333333333326,0.27555555555555544,0.4622222222222223,0.5911111111111115,0.10666666666666663,0.4666666666666665,0.6266666666666669,0.33777777777777795,0.5022222222222226,0.7866666666666667,0.4800000000000003,0.43555555555555586,0.5511111111111112,0.6622222222222224,0.6400000000000001,0.07555555555555539,0.41777777777777786,0.0799999999999999,0.26222222222222225,0.42222222222222205,0.6622222222222224,0.537777777777778,0.27555555555555544,0.41777777777777786,0.49333333333333357,0.3733333333333334,0.6800000000000004,0.40444444444444466,0.6888888888888888,0.3866666666666666,0.0,0.3866666666666666,1.0,0.5866666666666667,0.8844444444444447,0.4488888888888891,0.2977777777777777,0.4888888888888887,0.635555555555556,0.5733333333333335,0.4711111111111113,0.28444444444444444,0.4711111111111113,0.5022222222222226,0.43111111111111106,0.5466666666666671,0.2355555555555555,0.19111111111111104,0.42222222222222205,0.6133333333333337,0.2355555555555555,0.6400000000000001,0.3999999999999998,0.2977777777777777,0.728888888888889,0.5022222222222226,0.5022222222222226,0.6533333333333333,0.6533333333333333
